,Company,Description,Link
50,若水國際股份有限公司,若水，一家兼顧獲利和助人的社會企業。我們致力在雲端產業、AI人工智能、BIM領域中開創新的商機，運用商業的力量，在創造利潤的同時，也創造社會影響力。 在這裡，有一群熱情聰明的夥伴，還有熟悉深度學習人工智慧的數據專家。我們正在尋找不同領域的人才，加入我們共同打拼。他，或她的專業背景可能是IT、工...,https://www.cakeresume.com/companies/flow
51,保利智能股份有限公司,停停圈 是為O2O 服務，專注於私有車位共享。憑藉一個改變世界的 idea，我們希望透過 IOT 改善這個社會的每個問題。,https://www.cakeresume.com/companies/luckypa-846b7b
52,泰錸科技有限公司,Timeline Technologies was founded in 2016 by a group of traders and technologists looking to grow algorithmic trading in Asia. Our team includes ex...,https://www.cakeresume.com/companies/timelinecapital
53,aifian_諦諾智金股份有限公司,我們是一間人工智慧科技公司，致力於訂閱式電商服務，為每個人展開新的生活型態。 我們幫助用戶創建個人數據庫，提供用戶多樣的訂閱服務與互動機制，讓誠實的人得到獎勵。 - aifian 是一個訂閱電商平台，透過貢獻互動你可以直接賺取數據回饋、享受全新的購物體驗以及獲得合適的服務體驗。 歡迎透過 ht...,https://www.cakeresume.com/companies/aifian
54,禾力科技股份有限公司,Solmate 搜賣傳媒 - 我們致力於發展數位戶外廣告 (Digital Out of Home，DOOH) 平台 我們致力於引領市場趨勢 持續創新並打造數位行銷精準傳媒 根據Indoor ads美國廣告研究基金會(ARF)報告顯示：84.4%消費者能具體回憶看過的室內廣告內容，88.5%看...,https://www.cakeresume.com/companies/solmate
55,178人力銀行,由日本上市集團夢真Holdings旗下之夢科技(Yume Technology)100%出資，提供日商・日本・日文相關職缺，幫助日文人才及想赴日工作的求職者媒合理想工作。夢真集團已於菲律賓、越南、台灣設立分公司，未來也預計將業務擴展到更多國家。 178人力銀行除了台灣國內獵才業務及海外工作推薦...,https://www.cakeresume.com/companies/job178
56,Alfred Systems Inc. 阿福管家 - 用舊手機做監控攝影機,AlfredCamera（阿福管家） 是北美最受歡迎的居家安全監控軟體，，全球已累積超越二千五佰萬用戶下載，並分別於 2016 年與 2019 年獲得 Google Play 年度最創新 App 與年度最佳生活幫手 App 的殊榮。 上架至今， AlfredCamera 已經在 Android...,https://www.cakeresume.com/companies/alfred-camera
57,MixerBox,◆ Who We Are 我們是來自台灣的新創團隊 MixerBox，獲日本創投及矽谷知名新創孵化器 Y Combinator 的投資。 除了整合型音樂平台「MixerBox」外，團隊也已打造出多款 App Store 與 Google Play 排行榜冠軍 App，涉及領域包含影視新聞、生活...,https://www.cakeresume.com/companies/mixerbox
58,創弈人數位科技股份有限公司,創弈人由一群熱愛遊戲、專注遊戲研發、熟稔遊戲營運的成員，所組成的專業團隊。 我們秉持提供優異、多元化的產品；熱忱、高標準的服務，持續推出優質的遊戲，並締造無數佳績！ 創弈人擁有自主開發的堅強實力，創造且顛覆市場常規的遊戲產品。 給予玩家想要的、滿足玩家對於娛樂的渴望，是我們創立的初衷，也是我們...,https://www.cakeresume.com/companies/cyrdg.com
59,Allxon Inc. 奧暢雲服務股份有限公司,Allxon構建了一個高效且開放的設備管理平台，與合作夥伴一起，致力開創一個開放並能持續優化的商務運營世界。團隊成員從2001年在IaaS，2011年在PaaS與2017年進入SaaS，完整經歷雲端開發的各個階段，Allxon自2019年成立以來，已專注成為純粹的SaaS服務提供商。在每個階段...,https://www.cakeresume.com/companies/allxon-inc
60,優迪國際有限公司,『 優 』代表優質『 迪 』代表傳承 將優良的人、事、物，傳遞給下一代 並分享給身邊的人，是『優迪』成立的宗旨。 我們是一群有夢想的年輕人，在這個大環境下，只有靠自己的努力，才能夠真正擁有屬於自己的一片天空! 我們不怕挑戰與辛苦，因為只有上坡路是辛苦的，而辛苦過後，戰勝挑戰的果實與成就感是用金...,https://www.cakeresume.com/companies/yodee-pages-e9-97-9c-e6-96-bc-e5-84-aa-e8-bf-aa
61,超現實科技股份有限公司,"超現實科技股份有限公司成立於2016年，創立 Surreal Education超現實教育品牌 ，並致力於透過AR/VR來改革教育， 我們走在VR創新內容研發的浪尖上，始終秉持著 ""Learn better in VR"" 的信念持續在教育界經營推廣，我們期望能藉由VR科技突破現實的框架，以身歷...",https://www.cakeresume.com/companies/surreal
62,創越數位行銷有限公司,「創越」代表著創造無法超越的遊戲體驗。我們提供多元的遊戲服務，從遊戲製作、品牌包裝到網站經營，整合技術團隊與行銷力度，進而為玩家創造最真實感動的遊戲體驗。 公司於2008年創立，立足於台灣台中市的七期商業區，以卓越的遊戲品牌開發商為目標，目前我們在全球擁有6國遊戲市場分別是中國大陸、韓國、越南...,https://www.cakeresume.com/companies/bcadmk-main
63,JENNY CHOU Couture 頂級手工禮服,"JENNY CHOU Couture是一間從禮服設計到製作的禮服自創品牌公司, 無論是布料、蕾絲或是珠工,全都包含著我們對禮服完美的堅持的精緻度和手工的細膩度。 設計總監JENNY的設計風格結合多年的造型經驗及婚紗製做第二代底蘊，延續法國頂級訂製工藝手法，從無到有、從手工打版到製作， 在台灣獨...",https://www.cakeresume.com/companies/jenny-chou
64,全球華人股份有限公司,-1111人力銀行之人才獵聘管理中心- 提供海內外各大企業之長短期的工作， 包含正職、派遣約聘、兼職類型， 專業的團隊為您媒合工作及解惑各類的求職問題！,https://www.cakeresume.com/companies/c177ce
65,誠鎰開發有限公司 葉方智策工務所,房地產行銷之策略智庫， 動心文案、動情設計， 這裡有一個智工團隊， 星球增添一點微光。 想方，而用圓設法。 智力勞動，可算是工務人員吧！ 以智為策 這是一個絞腦汁的行當。,https://www.cakeresume.com/companies/f26bea
66,日陞企管顧問有限公司,sunbreak日陞企管顧問目前於全台各地皆有設立分公司，並與各大上市櫃企業配合，以最多元最完善的求職網，提供求職者諮詢工作，並為有工作需求的求職者，快速安排適合的工作，並全力協助員工於派遣期間內工作之相關問題並且不予求職者收取服務費用或傭金。日陞企管顧問有限公司信仰專業、智慧、謙虛與熱情！相...,https://www.cakeresume.com/companies/bad827
67,新元達行銷有限公司,新元達團隊主要為不動產預售屋及成屋的廣告代銷業務，我們的經營理念是『誠信、專業、創新』。團隊對所承接之建案我們皆全新投入與用心經營，從正確的產品定位及規劃是每個案件成功的關鍵因素，需深切了解業主與顧客的需求，開發符合市場的產品，如果你對於房地產有興趣、強烈企圖心，歡迎加入本公司團隊！,https://www.cakeresume.com/companies/4cda95
